Price,Location,Size,Bedrooms,Bathrooms,Wardrobes,Cabinets,Balcony,Parking,Quarters
80 000 000 Ksh,Kahawa @80.000.000 Ksh,35/40m,5.0,4.0,,,,Yes,Yes
50 000 000 Ksh,50m Dagoretti,25mx20m,4.0,3.0,Yes,Yes,Yes,Yes,
160 000 000 Ksh,"Nairobi,Karen",,5.0,4.0,Yes,Yes,Yes,Yes,
35 000 000 Ksh,Nairobi Kasarani,30/20C,4.0,3.0,,,,Yes,Yes
70 000 000 Ksh,www.Nairobidealer.com,30/20p,3.0,3.0,,Yes,,Yes,Yes
37 000 000 Ksh,37M Ruai NEAR madaraka,20mx30m,4.0,3.0,,,,,
65 000 000 Ksh,www.nairobiland.com/ Kilimani@65 millions.,25/30m,4.0,3.0,,,,Yes,Yes
52 000 000 Ksh,"www.nairobiland.com,Kahawa @52 millions",25/20m,,1.0,,,,Yes,Yes
75 000 000 Ksh,Nairobi,1238 sq,3.0,,,,,Yes,
80 000 000 Ksh,Nairobi Umoja,/,4.0,3.0,,,,Yes,Yes
160 000 000 Ksh,"Nairobi-Kilimani,festus",/,5.0,4.0,,,,,Yes
50 000 000 Ksh,"www.nairobiland.com,Kahawa @50 millions",25/20m,,1.0,,,,Yes,Yes
60 000 000 Ksh,Kilimani @60.000.000 Ksh,25/30m,4.0,3.0,,,,Yes,Yes
85 000 000 Ksh,85M Karen,20mx30m,4.0,3.0,Yes,Yes,Yes,Yes,
30 000 000 Ksh,Nairobi@festus,/,,,,,,,
7 000 000 Ksh,Nairobi,/,,,,,,,
820 000 000 Ksh,"Nairobi, Umoja",,4.0,3.0,Yes,Yes,Yes,Yes,
100 000 000 Ksh,Karen @100 millions,25/20m,,1.0,,,,Yes,Yes
80 000 000 Ksh,Nairobi 80M,/,4.0,3.0,,Yes,,,
60 000 000 Ksh,"Nairobi, Kasarani",/,4.0,3.0,,Yes,,,
55 000 000 Ksh,Kinoo house for sale@55 millions,20/25m,,1.0,,,,Yes,Yes
120 000 000 Ksh,Kasarani @120 millions/www.nairobiland.com,35/40m,4.0,3.0,,,,Yes,Yes
160 000 000 Ksh,Kibra160mly,30/25 ,4.0,5.0,,,,Yes,Yes
35 000 000 Ksh,35M Dagoretti,/,4.0,2.0,,Yes,,,
27 000 000 Ksh,Kicukiri,31mx40m,,,,,,,
48 000 000 Ksh,"Nairobi,Kasarani",/,4.0,2.0,,,,Yes,Yes
13 500 000 Ksh,Nairobi Dagoretti madaraka,20/35m,,,,,,,Yes
45 000 000 Ksh,Nairobi 45m,30/20p,4.0,3.0,,Yes,,Yes,Yes
150 000 000 Ksh,"www.nairobilandhouse.com,Dagoretti@150 millions.",25/30â,5.0,4.0,,,,Yes,Yes
80 000 000 Ksh,Kahawa,/,,,,,,,
65 000 000 Ksh,"Kasarani, house for sale @65.000.000 Ksh",25/30m,4.0,3.0,,,,Yes,Yes
40 000 000 Ksh,Kahawa 40M,500sqm,4.0,2.0,,,,,
80 000 000 Ksh,"Kahawa house@80,000,000 Ksh",35/40m,5.0,4.0,,,,Yes,Yes
28 000 000 Ksh,Kinoo,/,,,,,,,
20 000 000 Ksh,Nairobi-Komarock-festus,/,,,,,,,
120 000 000 Ksh,Nairobi/KIGUGU,/,4.0,3.0,,Yes,,Yes,
250 000 000 Ksh,Nairobi-Karen-festus,20mx30m,5.0,4.0,,,,,Yes
25 000 000 Ksh,Komarock 25millions,30/40m,4.0,3.0,,,,Yes,Yes
55 000 000 Ksh,55m Kilimani,/,4.0,3.0,,Yes,,,
9 000 000 Ksh,Nairobi Ruai,540sqm,,,,,,,
50 000 000 Ksh,Kilimani house for sale@50 millions,25/30m,4.0,3.0,,,,Yes,Yes
50 000 000 Ksh,Dagoretti @50 MILLIONS,25/30m,4.0,3.0,,,,Yes,Yes
160 000 000 Ksh,"Nairobi,Karen",,5.0,4.0,Yes,Yes,Yes,Yes,
75 000 000 Ksh,Nairobi,/,4.0,3.0,,,,Yes,Yes
38 000 000 Ksh,38M Kahawa,/,4.0,3.0,,Yes,,,
54 000 000 Ksh,"Nairobi, Uthiru",/,,1.0,,Yes,,,
35 000 000 Ksh,35m Kahawa,20mx25m,4.0,3.0,Yes,Yes,Yes,Yes,
35 000 000 Ksh,35m Kahawa,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
24 000 000 Ksh,24M Jogooroad,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
55 000 000 Ksh,55M Kahawa ,25mx30m,4.0,3.0,Yes,Yes,Yes,Yes,
27 000 000 Ksh,27M Ngongroad,20mx25m,4.0,3.0,Yes,Yes,Yes,Yes,
56 000 000 Ksh,Kahawa @56.000.000 Ksh,25/30m,4.0,3.0,,,,Yes,Yes
90 000 000 Ksh,"Kibra, house for sale @90.000.000 Ksh",25/30m,4.0,3.0,,,,Yes,Yes
50 000 000 Ksh,50m Uthiru,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
46 000 000 Ksh,Nairobi,/,4.0,3.0,,,,Yes,Yes
75 000 000 Ksh,Ruai house for sale@75 millions,20/25m,4.0,3.0,,,,Yes,Yes
65 000 000 Ksh,Nairobi 65M,/,4.0,3.0,,Yes,,,
63 000 000 Ksh,63M Karen,/,4.0,3.0,,Yes,,,
25 000 000 Ksh,"Umoja HOUSE FOR SALE @25,000,000 Ksh",40/30m,4.0,1.0,,,,Yes,Yes
39 000 000 Ksh,Muthaiga - Kahawa VIEW,500 SQ,4.0,3.0,,,,Yes,
63 000 000 Ksh,Nairobi 63M,30/20p,5.0,3.0,,Yes,,Yes,Yes
52 000 000 Ksh,Nairobi-Kasarani,20mx30m,4.0,3.0,Yes,Yes,Yes,Yes,
130 000 000 Ksh,"Nairobi,Karen",/,5.0,4.0,,Yes,,Yes,
70 000 000 Ksh,Kilimani @70.000.000 Ksh,25/30m,4.0,3.0,,,,Yes,Yes
140 000 000 Ksh,"Nairobi,Westlands",/,5.0,4.0,,,,Yes,Yes
110 000 000 Ksh,Nairobi Kibra,30/25 ,4.0,4.0,,,,Yes,Yes
250 000 000 Ksh,www.nairobilandhouse.com is selling a house at Kibra @250.000.000Ksh,25/35m,5.0,5.0,,,,Yes,Yes
70 000 000 Ksh,Kilimani @70.000.000 Ksh,25/30m,4.0,3.0,,,,Yes,Yes
65 000 000 Ksh,Nairobi Kasarani,25/30m,4.0,3.0,,,,Yes,Yes
50 000 000 Ksh,Nairobi,20mx30m,4.0,3.0,,,,Yes,Yes
55 000 000 Ksh,"Nairobi,Kahawa @55 millions.",25/30m,,1.0,,,,Yes,Yes
70 000 000 Ksh,www.Nairobidealer.com,20/30T,5.0,3.0,,,,,
90 000 000 Ksh,"Nairobi, Karen",,4.0,3.0,Yes,Yes,Yes,Yes,
50 000 000 Ksh,50m Uthiru,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
50 000 000 Ksh,50m Kilimani,25mx20m,4.0,3.0,Yes,Yes,Yes,Yes,
55 000 000 Ksh,55m Kilimani,30mx25m,3.0,2.0,Yes,Yes,Yes,Yes,
33 000 000 Ksh,33M Runda house for sale,20mx30m,4.0,3.0,Yes,Yes,Yes,Yes,
100 000 000 Ksh,Nairobi,/2.0.0,4.0,3.0,,,Yes,,Yes
130 000 000 Ksh,www.nairobiland.com/ Karen@ 130 millions,20/25m,5.0,4.0,,,,Yes,Yes
55 000 000 Ksh,55m Kilimani,25mx20m,3.0,2.0,Yes,Yes,Yes,Yes,
110 000 000 Ksh,www.nairobilandhouse.com is selling a house at Karen @110.000.000Ksh,30/35P,6.0,5.0,,,,Yes,Yes
41 000 000 Ksh,41M Umoja,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
55 000 000 Ksh,Kahawa @55.000.000 Ksh,28/30m,4.0,3.0,,,,Yes,Yes
70 000 000 Ksh,Kahawa house for sale@70 millions,25/30m,5.0,3.0,,,,Yes,Yes
26 000 000 Ksh,26m Kinoo,25mx20m,4.0,3.0,Yes,Yes,Yes,Yes,
60 000 000 Ksh,www.Nairobidealer.com,30/45p,4.0,3.0,,,,,
65 000 000 Ksh,65m Uthiru,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
135 000 000 Ksh,Nairobi-Karen house for sale@135 millions:www.nairobiland.com,25/30m,5.0,4.0,,,,Yes,Yes
50 000 000 Ksh,kivu manu dael,30mx35m,,,,,,,
55 000 000 Ksh,www.nairobiland.com/ Kahawa@55 millions,25/20m,4.0,3.0,,,,Yes,Yes
50 000 000 Ksh,50m Uthiru,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
41 000 000 Ksh,Kahawa house for sale@41 millions,30/25m,,1.0,,,,Yes,Yes
70 000 000 Ksh,70M Kilimani,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
73 000 000 Ksh,Kibra 75M,30/20p,4.0,3.0,,Yes,,Yes,Yes
47 000 000 Ksh,Nairobi 47M,/,4.0,3.0,,Yes,,,
45 000 000 Ksh,45M Kahawa,30mx20m,4.0,3.0,Yes,Yes,Yes,Yes,
85 000 000 Ksh,Nairobi Kibra,500Sqm,4.0,3.0,,,Yes,,Yes
45 000 000 Ksh,Makadara,/,4.0,3.0,,,,,
150 000 000 Ksh,Karen house for sale @ 150 millions,35/30m,6.0,4.0,,,,Yes,Yes
110 000 000 Ksh,"www.nairobiland.com,Kibra @110 millions",20/30m,4.0,3.0,,,,Yes,Yes
$ 850 000,Nairobi,,,1.0,,,Yes,,
55 000 000 Ksh,Nairobi Dagoretti,750Sqm,3.0,2.0,,,Yes,,Yes
140 000 000 Ksh,www.nairobilandhouse.com is selling a house at Karen @140.000.000Ksh,35/30m,6.0,4.0,,,,Yes,Yes
15 000 000 Ksh,Nairobi,/,3.0,,,,,Yes,
65 000 000 Ksh,www.nairobilandhouse.com is selling a house at Kasarani@ 60.000.000Ksh,20/30m,4.0,3.0,,,,Yes,Yes
130 000 000 Ksh,"Kasarani, Nairobi",,4.0,3.0,Yes,Yes,Yes,Yes,
100 000 000 Ksh,"www.nairobiland.com,Karen@100 millions",25/25P,4.0,3.0,,,,Yes,Yes
100 000 000 Ksh,"www.nairobiland.com, Karen@100 millions",25/30m,4.0,3.0,,,,Yes,Yes
18 000 000 Ksh,Kahawa airport Nairobi,400sqm,3.0,1.0,,,,,Yes
52 000 000 Ksh,Nairobi,/,4.0,3.0,,,,Yes,Yes
60 000 000 Ksh,"Nairobi, Kilimani",,4.0,3.0,Yes,Yes,Yes,Yes,Yes
50 000 000 Ksh,50M Kilimani,25mx30m,4.0,3.0,,,,,
55 000 000 Ksh,55M Uthiru,20mx30m,4.0,3.0,,,,,
26 000 000 Ksh,Ngongroad- Ruaka,945PRI,5.0,3.0,,,,,
130 000 000 Ksh,"nairobiland.com, Karen@130 millions",25/30m,,1.0,,,,Yes,Yes
60 000 000 Ksh,Kahawa;60.000.000Ksh,25/30m,4.0,3.0,,,,Yes,Yes
70 000 000 Ksh,Kilimani @70.000.000 Ksh,25/30m,4.0,3.0,,,,Yes,Yes
35 000 000 Ksh,35m Kahawa,25M/30M,4.0,3.0,,,,Yes,
29 000 000 Ksh,Nairobi,/,4.0,,,,,,
250 000 000 Ksh,250M Kibra,/,5.0,5.0,,Yes,,,
56 000 000 Ksh,"Nairobi, Kahawa",,4.0,3.0,Yes,Yes,Yes,Yes,Yes
55 000 000 Ksh,"Karen, @55.000.000 Ksh",25/30m,5.0,3.0,,,,Yes,Yes
60 000 000 Ksh,Kilimani @60.000.000 Ksh,30/25m,4.0,3.0,,,,Yes,Yes
65 000 000 Ksh,Kilimani @65.000.000 Ksh,30/30m,4.0,3.0,,,,Yes,Yes
120 000 000 Ksh,Karen house for sale@120 millions,/,5.0,4.0,Yes,,,,
60 000 000 Ksh,60M Kasarani ,30mx20m,4.0,2.0,,,,,Yes
53 000 000 Ksh,Nairobi@festus,20m/30m,4.0,3.0,,,,Yes,Yes
100 000 000 Ksh,Dagoretti100M,/,5.0,4.0,,,Yes,Yes,
$ 80 000,Westlands,/,3.0,2.0,,,,,
58 000 000 Ksh,www.nairobilandhouse.com is selling a house at Kahawa@58millions,25/30m,4.0,3.0,,,,Yes,Yes
35 000 000 Ksh,35M Pangani,/,4.0,3.0,,Yes,,,
200 000 000 Ksh,200M Karen,,5.0,4.0,Yes,Yes,Yes,Yes,Yes
70 000 000 Ksh,70M Jogooroad,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
35 000 000 Ksh,Nairobi ,/,4.0,3.0,,,,,Yes
55 000 000 Ksh,"Kasarani, house for sale @55.000.000 Ksh",28/30m,4.0,3.0,,,,Yes,Yes
65 000 000 Ksh,"Nairobi,Kasarani",/,4.0,2.0,,Yes,,Yes,Yes
58 000 000 Ksh,Uthiru 58millions,25mx30m,4.0,3.0,,,,Yes,
45 000 000 Ksh,"www.nairobiland.com,Kinoo @45 millions",20/25m,,1.0,,,,Yes,Yes
70 000 000 Ksh,70M Jogooroad,30mx30m,4.0,2.0,,,,,Yes
55 000 000 Ksh,Umoja house for sale@55 millions,20/25m,4.0,3.0,,,,Yes,Yes
25 000 000 Ksh,25m Karen,25mx20m,4.0,1.0,Yes,Yes,Yes,,Yes
65 000 000 Ksh,65m Uthiru,/,4.0,3.0,,Yes,,,
110 000 000 Ksh,110M Karen,,5.0,4.0,Yes,Yes,Yes,Yes,Yes
85 000 000 Ksh,Nairobidealer.com,500Sqm,4.0,3.0,,,Yes,,Yes
52 000 000 Ksh,"Nairobi,Kahawa. ",/,4.0,3.0,,Yes,,,
300 000 000 Ksh,Nairobi Runda,36mx28m,,,,,,,
75 000 000 Ksh,"Kasarani, house for sale @75.000.000 Ksh",25/30m,4.0,3.0,,,,Yes,Yes
50 000 000 Ksh,"www.nairobiland.com,Kasarani @50 millions",25/30m,4.0,3.0,,,,Yes,Yes
40 000 000 Ksh,Kahawa house for sale@40 millions,25/20m,,1.0,,,,Yes,Yes
65 000 000 Ksh,"Nairobi, Kilimani",/,4.0,3.0,,Yes,,Yes,
Negotiable,Nairobi,20/30>,4.0,3.0,Yes,Yes,Yes,Yes,
85 000 000 Ksh,85M Karen,20mx30m,4.0,3.0,Yes,Yes,Yes,Yes,
55 000 000 Ksh,55M Kilimani,/,4.0,3.0,,Yes,,,
90 000 000 Ksh,"Nairobi, Kilimani",,5.0,3.0,Yes,Yes,Yes,Yes,Yes
40 000 000 Ksh,Kasarani house for sale@40 millions,40/35m,4.0,2.0,,,,Yes,Yes
250 000 000 Ksh,Karen CLOSER TO TARMAC STREET,,6.0,5.0,,,Yes,Yes,
23 000 000 Ksh,"Kilimani-Githurai44@23,000,000 Ksh",25/30m,4.0,2.0,,,,Yes,Yes
25 000 000 Ksh,Nairobi,/,4.0,1.0,,,,Yes,Yes
85 000 000 Ksh,85M Karen,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
16 000 000 Ksh,Nairobi Malaa,/,,,,,,,Yes
15 000 000 Ksh,15M Kahawa,/,3.0,3.0,,Yes,,,
55 000 000 Ksh,Kilimani 55M,500sqm,3.0,3.0,,,,,
15 000 000 Ksh,Nairobi-Kilimani,/,3.0,1.0,,,,,
65 000 000 Ksh,Nairobi ,/,5.0,3.0,,,,Yes,Yes
9 000 000 Ksh,"Nairobi-Kilimani,festus",300sqm,,,,,,,
53 000 000 Ksh,Kilimani-festus,300sqm,3.0,2.0,,,,,Yes
65 000 000 Ksh,Nairobi Kasarani,25/30m,4.0,3.0,,,,Yes,Yes
28 000 000 Ksh,28m Kahawa,25mx20m,4.0,3.0,Yes,Yes,Yes,Yes,
55 000 000 Ksh,Nairobi Kahawa,25/30m,4.0,3.0,,,,Yes,Yes
60 000 000 Ksh,"Nairobi, Kasarani",/,4.0,3.0,,Yes,,,
95 000 000 Ksh,95M Karen,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
38 000 000 Ksh,Nairobi 38M,20mx25m,4.0,2.0,,,,,
17 000 000 Ksh,17M Dagoretti,/,4.0,1.0,,Yes,,,
25 000 000 Ksh,Nairobi Ruai,600Sqm,4.0,2.0,,,,,
60 000 000 Ksh,Kilimani @60.000.000 Ksh,25/30m,4.0,2.0,,,,Yes,Yes
75 000 000 Ksh,75M Kilimani,35mx20m,3.0,2.0,Yes,Yes,Yes,Yes,
47 000 000 Ksh,www.Nairobidealer.com,500sqm,4.0,3.0,,,,Yes,
60 000 000 Ksh,Nairobi Kileleshwa,/,4.0,3.0,,,,Yes,Yes
70 000 000 Ksh,"Karen, @70.000.000 Ksh",25/30m,4.0,3.0,,,,Yes,Yes
55 000 000 Ksh,www.nairobiland.com/ Kahawa@55 millions,25/20m,4.0,3.0,,,,Yes,Yes
Negotiable,Kinoo-Nairobi,13 sqm,4.0,,,,,,
50 000 000 Ksh,"www.nairobiland.com,Kasarani @50 millions",25/30m,4.0,3.0,,,,Yes,Yes
65 000 000 Ksh,"Kasarani, Nairobi",,4.0,3.0,,,Yes,Yes,
75 000 000 Ksh,Karen house for sale@75.000.000 Ksh,25/30L,4.0,3.0,,,,Yes,Yes
85 000 000 Ksh,85M Karen,25mx25m,4.0,3.0,Yes,Yes,Yes,Yes,
65 000 000 Ksh,65M Gigiri,/,4.0,3.0,,Yes,,,Yes
70 000 000 Ksh,"www.nairobiland.com, Komarock@70 millions",25/35m,4.0,3.0,,,,Yes,Yes
55 000 000 Ksh,Nairobi Kahawa,25/25m,4.0,3.0,,,,Yes,Yes
95 000 000 Ksh,Nairobi-Kasarani,20m/30m,5.0,4.0,Yes,,,Yes,Yes
52 000 000 Ksh,Nairobi Kasarani,25/30m,4.0,3.0,,,,Yes,Yes
250 000 000 Ksh,250M Kibra,20mx30m,6.0,8,,,,,
52 000 000 Ksh,52M Kahawa,/,4.0,3.0,,Yes,,,
120 000 000 Ksh,120M Kasarani,20mx30m,4.0,4.0,Yes,Yes,Yes,Yes,
50 000 000 Ksh,Nairobi Kahawa,25/30m,4.0,3.0,,,,Yes,Yes
75 000 000 Ksh,"Karen, @75.000.000 Ksh",25/30m,4.0,3.0,,,,Yes,Yes
65 000 000 Ksh,www.nairobilandhouse.com is selling a house at Kasarani@ 60.000.000Ksh,20/30m,4.0,3.0,,,,Yes,Yes
80 000 000 Ksh,Karen 80,944sqm,5.0,3.0,,,,,
45 000 000 Ksh,"www.nairobilandhouse.com,Kahawa @45 millions",25/20m,,1.0,,,,Yes,Yes
72 000 000 Ksh,Nairobi@festus,20mx30m,4.0,3.0,,,,Yes,Yes
35 000 000 Ksh,35M Kinoo,/,4.0,3.0,,Yes,,,
Negotiable,Umoja,20mx28m,3.0,1.0,,,,Yes,
180 000 000 Ksh,Kariobangi 180M,35x45m,4.0,3.0,Yes,,,Yes,Yes
55 000 000 Ksh,Nairobi@festus,20/25m,4.0,3.0,,,,Yes,Yes
57 000 000 Ksh,57m Komarock,/,4.0,3.0,,Yes,,,
15 000 000 Ksh,Nairobi ,/,3.0,,,,,,
175 000 000 Ksh,Karen:property24.com,30mx30m,4.0,4.0,,,,,
55 000 000 Ksh,Kahawa Nairobi,/,4.0,3.0,,,,Yes,Yes
34 000 000 Ksh,Pangani,,5.0,3.0,,,Yes,,
75 000 000 Ksh,Nairobi-Kasarani-Gigiri,25mx30m,4.0,3.0,,,,,Yes
80 000 000 Ksh,Kasarani house for sale@80 millions,20/25m,4.0,3.0,,,,Yes,Yes
120 000 000 Ksh,Karen house for sale@120 millions,/,5.0,4.0,,,,,
120 000 000 Ksh,"Umoja,Donholm",/,4.0,3.0,,Yes,,Yes,
150 000 000 Ksh,Ruai,,4.0,2.0,,Yes,Yes,,Yes
80 000 000 Ksh,80M Kilimani,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
40 000 000 Ksh,Nairobi ,20m/30m,4.0,3.0,,,,Yes,
60 000 000 Ksh,60M Dagoretti,25mx30m,4.0,3.0,Yes,Yes,Yes,Yes,
30 000 000 Ksh,30M Ngongroad,/,4.0,3.0,,Yes,,,
50 000 000 Ksh,"Nairobi, Kilimani",,4.0,3.0,Yes,Yes,Yes,Yes,Yes
85 000 000 Ksh,Kilimani house for sale@85 millions,30/25m,,1.0,,,,Yes,Yes
180 000 000 Ksh,"Nairobi, Karen",,5.0,6.0,Yes,Yes,Yes,Yes,Yes
85 000 000 Ksh,85m gihogwe/jali,30mx25m,5.0,1.0,Yes,Yes,Yes,Yes,
55 000 000 Ksh,55m Kilimani,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
180 000 000 Ksh,Karen:property24.com,28mx30m,5.0,4.0,,,,,
85 000 000 Ksh,Kilimani house for sale@85 millions,30/25m,,1.0,,,,Yes,Yes
38 000 000 Ksh,38M Kahawa,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
450 000 000 Ksh,Westlands,30x35 ,6.0,5.0,Yes,,,Yes,Yes
29 000 000 Ksh,29M Ngongroad,/,4.0,3.0,,Yes,,,
50 000 000 Ksh,"www.nairobiland.com,Kasarani @50 millions",25/30m,,1.0,,,,Yes,Yes
150 000 000 Ksh,150M Kilimani,20MX30M,5.0,4.0,,,,Yes,Yes
60 000 000 Ksh,60M Gigiri,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
45 000 000 Ksh,Kahawa ,20mx25m,4.0,3.0,,,,Yes,
110 000 000 Ksh,www.Nairobidealer.com,,5.0,3.0,,,Yes,,
55 000 000 Ksh,55M Kahawa ,27mx20m,4.0,3.0,Yes,Yes,Yes,Yes,
$ 15 000 000,Ngara,5000 sq,51,,,,,,
140 000 000 Ksh,www.nairobiland.com/ Kilimani@140 millions,25/20m,4.0,1.0,,,,Yes,Yes
40 000 000 Ksh,"Nairobi,Jogooroad",/,4.0,2.0,,,,Yes,Yes
50 000 000 Ksh,50m Uthiru,20m/30m,4.0,3.0,,,,Yes,Yes
7 000 000 Ksh,Utawala ,17mx22m,3.0,,,,,,
100 000 000 Ksh,Nairobi,2.0.0 wa,,1.0,Yes,,Yes,Yes,Yes
650 000 000 Ksh,65M Kilimani,35mx35m,4.0,1.0,Yes,Yes,Yes,Yes,
55 000 000 Ksh,Kilimani:property24.com,25mx30m,4.0,3.0,,,,,
35 000 000 Ksh,"Nairobi,Kasarani",/,4.0,2.0,,Yes,,Yes,
38 000 000 Ksh,38M Kilimani,/,4.0,3.0,,Yes,,,
28 000 000 Ksh,Githurai44,/,,,,,,,
55 000 000 Ksh,55M Jogooroad,20mx30m,4.0,3.0,,,,,
55 000 000 Ksh,Kasarani @4bedrooms @55.000.000 Ksh,20/30m,4.0,3.0,,,,Yes,Yes
140 000 000 Ksh,Umoja-Donholm,1444 sq,5.0,4.0,,,,Yes,Yes
30 000 000 Ksh,30M Jogooroad,20mx30m,4.0,3.0,,,,,
68 000 000 Ksh,68M gisogi,30mx30m,5.0,3.0,Yes,Yes,Yes,Yes,
75 000 000 Ksh,75m Kilimani,20mx25m,4.0,3.0,Yes,Yes,Yes,Yes,
65 000 000 Ksh,"Karen, @65.000.000 Ksh",25/30m,4.0,3.0,,,,Yes,Yes
85 000 000 Ksh,Nairobi Kasarani,30/30m,4.0,3.0,,,,Yes,Yes
15 000 000 Ksh,Nairobi ,22/30C,3.0,1.0,,,,Yes,
29 000 000 Ksh,Pangani KARIYERI,,4.0,3.0,,,Yes,,Yes
44 000 000 Ksh,Kinoo,20/30C,4.0,2.0,,,,Yes,
160 000 000 Ksh,Karen,/,,,,,,,
38 000 000 Ksh,38millions Kahawa,20mx25m,4.0,2.0,,,,,
65 000 000 Ksh,Kahawa house for sale@65 millions,20/25m,,1.0,,,,Yes,Yes
45 000 000 Ksh,Nairobi Kahawa,25/25m,4.0,3.0,,,,Yes,Yes
25 000 000 Ksh,"Nairobi,Kasarani",/,4.0,3.0,,,,,
250 000 000 Ksh,Nairobi-Karen-festus,20m/30m,5.0,4.0,,,,Yes,Yes
55 000 000 Ksh,55M Kilimani,/,4.0,3.0,,Yes,,,
Negotiable,Nairobi City,217 sqm,5.0,3.0,,,,Yes,Yes
40 000 000 Ksh,www.Nairobidealer.com,20/25p,4.0,3.0,,,,,
60 000 000 Ksh,"Nairobi, Kahawa",/,4.0,3.0,,Yes,,,
85 000 000 Ksh,Nairobi--Karen,25mx30m,4.0,3.0,,,,,
85 000 000 Ksh,85M Langata,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
90 000 000 Ksh,"Nairobi, Kilimani",,5.0,3.0,Yes,Yes,Yes,Yes,Yes
200 000 000 Ksh,"www.nairobiland.com,Kibra @200 millions",20/20m,3.0,4.0,,,,Yes,Yes
130 000 000 Ksh,Kilimani,1100 sq,5.0,4.0,,,,Yes,Yes
55 000 000 Ksh,Kahawa @55.000.000 Ksh,25/30m,4.0,3.0,,,,Yes,Yes
50 000 000 Ksh,Uthiru 50millions,30MX20M,4.0,3.0,,,,Yes,Yes
120 000 000 Ksh,Kawangware big Villas for sale @130.000.000 Ksh,30/20m,,1.0,Yes,,,Yes,Yes
38 000 000 Ksh,38M Kahawa,25m/30m,4.0,3.0,,,,Yes,Yes
40 000 000 Ksh,Nairobi-Kilimani ,20 sqm,5.0,1.0,,,,,Yes
140 000 000 Ksh,Umoja-Donholm,1444 sq,5.0,4.0,,,,Yes,Yes
130 000 000 Ksh,Nairobi Karen,/,5.0,2.0,,,,Yes,
60 000 000 Ksh,www.Nairobidealer.com,30/20,5.0,3.0,,,,Yes,Yes
90 000 000 Ksh,Nairobi/Kasarani/Embakasi,/,4.0,3.0,,Yes,,Yes,Yes
72 000 000 Ksh,"Nairobi, Kilimani",,4.0,3.0,Yes,Yes,Yes,Yes,
52 000 000 Ksh,Komarock NEAR MODERN MARKET,1080 SQ,3.0,2.0,,,,Yes,
50 000 000 Ksh,Kahawa @55.000.000 Ksh,25/30m,4.0,3.0,,,,Yes,Yes
65 000 000 Ksh,Nairobi Kasarani,/,4.0,3.0,,Yes,,,
55 000 000 Ksh,"www.nairobiland.com,Kahawa @55 millions",25/20m,,1.0,,,,Yes,Yes
120 000 000 Ksh,"www.nairobiland.com,Karen @120 millions",25/30m,,1.0,,,,Yes,Yes
250 000 000 Ksh,Kibra,/,4.0,3.0,Yes,,Yes,,
80 000 000 Ksh,Nairobi Kilimani,25/30m,4.0,3.0,,,,Yes,Yes
150 000 000 Ksh,"Karen, @150.000.000 Ksh",25/30m,5.0,5.0,,,,Yes,Yes
58 000 000 Ksh,Kahawa house @58.000.000 Ksh,25/30m,4.0,3.0,,,,Yes,Yes
130 000 000 Ksh,Kilimani @130.000.000 Ksh,35/40m,6.0,5.0,,,,Yes,Yes
50 000 000 Ksh,"Kasarani, house for sale @50.000.000 Ksh",20/30m,4.0,3.0,,,,Yes,Yes
56 000 000 Ksh,Nairobi@festus,20m/30m,4.0,3.0,,,,,Yes
10 000 000 Ksh,10M Kahawa,,3.0,0,Yes,Yes,Yes,Yes,Yes
250 000 000 Ksh,250M Kibra,20mx30m,4.0,3.0,,,,,
50 000 000 Ksh,50m Kilimani,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
80 000 000 Ksh,Nairobi 80M,30/20F,4.0,2.0,,,,Yes,Yes
22 000 000 Ksh,22M Pangani,/,4.0,3.0,,Yes,,,
150 000 000 Ksh,Ruai,/,,,,,,,
56 000 000 Ksh,Kahawa @56.000.000 Ksh,25/30m,4.0,3.0,,,,Yes,Yes
65 000 000 Ksh,www.nairobiland.com/ Karen@65 millions,25/35m,4.0,1.0,,,,Yes,Yes
$ 33 600,Mathare,/,3.0,1.0,,,,Yes,Yes
105 000 000 Ksh,"Nairobi,Karen",/,4.0,3.0,,Yes,,Yes,
Negotiable,Nairobi CITY,,4.0,3.0,Yes,Yes,Yes,Yes,
75 000 000 Ksh,Nairobi,30mx30m,4.0,3.0,,,,Yes,Yes
55 000 000 Ksh,"Kasarani, Nairobi",,4.0,3.0,,,Yes,Yes,
250 000 000 Ksh,Karen CLOSER TO TARMAC STREET,,6.0,5.0,,,Yes,Yes,
